Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,5.3193,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078,0.47219999999999906,-0.5711999999999993,-1.9214000000000002,0.8573000000000004,-0.7989000000000015,-0.39809999999999945
2004,7.3128,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078,0.47219999999999906,-0.5711999999999993,-1.9214000000000002,0.8573000000000004,-0.7989000000000015
2005,5.6297,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078,0.47219999999999906,-0.5711999999999993,-1.9214000000000002,0.8573000000000004
2006,4.4409,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078,0.47219999999999906,-0.5711999999999993,-1.9214000000000002
2007,6.1262,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078,0.47219999999999906,-0.5711999999999993
2008,6.5469,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078,0.47219999999999906
2009,6.3716,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003,0.07360000000000078
2010,6.4782,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977,0.1264000000000003
2011,7.9865,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002,0.11899999999999977
2012,9.032,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002,-1.8776000000000002
2013,8.8374,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001,1.0045000000000002
2014,7.9683,-0.8691000000000004,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553,-0.6829000000000001
2015,7.8864,-0.08190000000000008,-0.8691000000000004,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935,-1.5553
2016,8.1931,0.3066999999999993,-0.08190000000000008,-0.8691000000000004,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005,1.9935
2017,7.9249,-0.26819999999999933,0.3066999999999993,-0.08190000000000008,-0.8691000000000004,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996,-1.6831000000000005
2018,7.9543,0.02939999999999987,-0.26819999999999933,0.3066999999999993,-0.08190000000000008,-0.8691000000000004,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998,-1.1887999999999996
2019,7.9283,-0.0259999999999998,0.02939999999999987,-0.26819999999999933,0.3066999999999993,-0.08190000000000008,-0.8691000000000004,-0.19459999999999944,1.0454999999999997,1.5083000000000002,0.10660000000000025,-0.1753,0.4207000000000001,1.6852999999999998
