Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,42.82,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06,-19.17,0.9500000000000028,61.68999999999999,7.68,1.2100000000000009,-10.329999999999998
2004,56.33,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06,-19.17,0.9500000000000028,61.68999999999999,7.68,1.2100000000000009
2005,87.09,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06,-19.17,0.9500000000000028,61.68999999999999,7.68
2006,87.02,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06,-19.17,0.9500000000000028,61.68999999999999
2007,98.3,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06,-19.17,0.9500000000000028
2008,109.26,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06,-19.17
2009,100.8,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16,49.06
2010,134.0,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007,-40.16
2011,224.26,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999,-31.180000000000007
2012,152.29,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007,-8.08999999999999
2013,102.14,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997,-28.930000000000007
2014,134.7,32.55999999999999,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91,-6.139999999999997
2015,104.49,-30.209999999999994,32.55999999999999,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998,11.91
2016,107.83,3.3400000000000034,-30.209999999999994,32.55999999999999,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005,13.509999999999998
2017,110.48,2.6500000000000057,3.3400000000000034,-30.209999999999994,32.55999999999999,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739,30.760000000000005
2018,90.78,-19.700000000000003,2.6500000000000057,3.3400000000000034,-30.209999999999994,32.55999999999999,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001,-0.07000000000000739
2019,81.48,-9.299999999999997,-19.700000000000003,2.6500000000000057,3.3400000000000034,-30.209999999999994,32.55999999999999,-50.14999999999999,-71.97,90.25999999999999,33.2,-8.460000000000008,10.960000000000008,11.280000000000001
