Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,48.34,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985,-6.060000000000002,13.63000000000001,35.87,-4.450000000000003,-12.559999999999995,-2.3900000000000006
2004,60.83,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985,-6.060000000000002,13.63000000000001,35.87,-4.450000000000003,-12.559999999999995
2005,89.22,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985,-6.060000000000002,13.63000000000001,35.87,-4.450000000000003
2006,89.81,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985,-6.060000000000002,13.63000000000001,35.87
2007,100.05,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985,-6.060000000000002,13.63000000000001
2008,114.22,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985,-6.060000000000002
2009,138.96,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999,39.609999999999985
2010,180.55,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003,-31.08999999999999
2011,239.68,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002,-15.700000000000003
2012,166.69,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999,-11.420000000000002
2013,113.91,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003,-17.00999999999999
2014,159.71,45.80000000000001,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997,-5.380000000000003
2015,119.4,-40.31,45.80000000000001,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995,-4.229999999999997
2016,123.56,4.159999999999997,-40.31,45.80000000000001,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39,12.489999999999995
2017,125.76,2.200000000000003,4.159999999999997,-40.31,45.80000000000001,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034,28.39
2018,113.52,-12.240000000000009,2.200000000000003,4.159999999999997,-40.31,45.80000000000001,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995,0.5900000000000034
2019,108.68,-4.839999999999989,-12.240000000000009,2.200000000000003,4.159999999999997,-40.31,45.80000000000001,-52.78,-72.99000000000001,59.129999999999995,41.59,24.74000000000001,14.170000000000002,10.239999999999995
