Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,41.71,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22,-34.89,20.980000000000004,44.029999999999994,-2.6000000000000014,-15.979999999999997,5.769999999999996
2004,50.22,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22,-34.89,20.980000000000004,44.029999999999994,-2.6000000000000014,-15.979999999999997
2005,78.69,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22,-34.89,20.980000000000004,44.029999999999994,-2.6000000000000014
2006,80.82,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22,-34.89,20.980000000000004,44.029999999999994
2007,81.63,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22,-34.89,20.980000000000004
2008,90.56,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22,-34.89
2009,83.72,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999,49.22
2010,125.16,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001,-23.61999999999999
2011,200.02,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998,-31.78000000000001
2012,141.15,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97,-7.189999999999998
2013,101.8,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002,-19.97
2014,118.94,17.14,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999,2.740000000000002
2015,110.97,-7.969999999999999,17.14,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998,4.649999999999999
2016,93.17,-17.799999999999997,-7.969999999999999,17.14,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47,8.509999999999998
2017,90.77,-2.4000000000000057,-17.799999999999997,-7.969999999999999,17.14,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955,28.47
2018,84.04,-6.72999999999999,-2.4000000000000057,-17.799999999999997,-7.969999999999999,17.14,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023,2.1299999999999955
2019,72.37,-11.670000000000002,-6.72999999999999,-2.4000000000000057,-17.799999999999997,-7.969999999999999,17.14,-39.35000000000001,-58.870000000000005,74.86000000000001,41.44,-6.840000000000003,8.930000000000007,0.8100000000000023
