Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,28.6,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995,-9.86,10.07,12.25,4.439999999999998,-0.8799999999999955,-3.700000000000003
2004,30.8,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995,-9.86,10.07,12.25,4.439999999999998,-0.8799999999999955
2005,52.42,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995,-9.86,10.07,12.25,4.439999999999998
2006,61.35,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995,-9.86,10.07,12.25
2007,79.38,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995,-9.86,10.07
2008,96.12,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995,-9.86
2009,73.13,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926,19.629999999999995
2010,77.96,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005,-0.6799999999999926
2011,109.6,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002,-18.010000000000005
2012,104.65,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996,-21.740000000000002
2013,94.88,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003,-12.429999999999996
2014,104.63,9.75,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003,-1.360000000000003
2015,87.95,-16.679999999999993,9.75,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993,6.520000000000003
2016,82.71,-5.240000000000009,-16.679999999999993,9.75,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62,2.1999999999999993
2017,94.97,12.260000000000005,-5.240000000000009,-16.679999999999993,9.75,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93,21.62
2018,78.48,-16.489999999999995,12.260000000000005,-5.240000000000009,-16.679999999999993,9.75,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994,8.93
2019,70.68,-7.799999999999997,-16.489999999999995,12.260000000000005,-5.240000000000009,-16.679999999999993,9.75,-9.77000000000001,-4.949999999999989,31.64,4.829999999999998,-22.99000000000001,16.74000000000001,18.029999999999994
