Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,14200.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0,900.0,800.0,200.0,200.0,400.0,300.0
2004,14946.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0,900.0,800.0,200.0,200.0,400.0
2005,15538.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0,900.0,800.0,200.0,200.0
2006,16331.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0,900.0,800.0,200.0
2007,17110.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0,900.0,800.0
2008,17660.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0,900.0
2009,18390.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0,500.0
2010,19132.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0,700.0
2011,19720.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0,500.0
2012,20330.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0,500.0
2013,20085.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0,390.0
2014,20333.0,248.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0,160.0
2015,20508.0,175.0,248.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0,450.0
2016,21225.0,717.0,175.0,248.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0,746.0
2017,21997.0,772.0,717.0,175.0,248.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0,592.0
2018,22200.0,203.0,772.0,717.0,175.0,248.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0,793.0
2019,22000.0,-200.0,203.0,772.0,717.0,175.0,248.0,-245.0,610.0,588.0,742.0,730.0,550.0,779.0
