Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,5393.68,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5,199.72999999999956,201.8100000000004,-395.90999999999985,-107.67000000000007,57.460000000000036,351.8199999999997
2004,4929.12,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5,199.72999999999956,201.8100000000004,-395.90999999999985,-107.67000000000007,57.460000000000036
2005,4787.36,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5,199.72999999999956,201.8100000000004,-395.90999999999985,-107.67000000000007
2006,5277.59,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5,199.72999999999956,201.8100000000004,-395.90999999999985
2007,5627.75,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5,199.72999999999956,201.8100000000004
2008,5151.57,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5,199.72999999999956
2009,5676.75,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025,-25.5
2010,5712.9,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75,-136.22000000000025
2011,5961.95,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967,227.75
2012,5790.29,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022,-176.35999999999967
2013,5706.86,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055,-149.26000000000022
2014,5954.15,247.28999999999996,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996,272.90000000000055
2015,5591.33,-362.8199999999997,247.28999999999996,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004,-132.03999999999996
2016,5374.54,-216.78999999999996,-362.8199999999997,247.28999999999996,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022,-464.5600000000004
2017,5549.65,175.10999999999967,-216.78999999999996,-362.8199999999997,247.28999999999996,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005,-141.76000000000022
2018,5986.44,436.78999999999996,175.10999999999967,-216.78999999999996,-362.8199999999997,247.28999999999996,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985,490.2300000000005
2019,6192.44,206.0,436.78999999999996,175.10999999999967,-216.78999999999996,-362.8199999999997,247.28999999999996,-83.43000000000029,-171.65999999999985,249.05000000000018,36.149999999999636,525.1800000000003,-476.1800000000003,350.15999999999985
