Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,9498.6,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008,-637.7600000000002,3017.51,-3110.789999999999,1754.33,-2806.8199999999997,5097.959999999999
2004,10444.71,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008,-637.7600000000002,3017.51,-3110.789999999999,1754.33,-2806.8199999999997
2005,8664.51,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008,-637.7600000000002,3017.51,-3110.789999999999,1754.33
2006,9150.85,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008,-637.7600000000002,3017.51,-3110.789999999999
2007,8626.68,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008,-637.7600000000002,3017.51
2008,9534.51,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008,-637.7600000000002
2009,8896.93,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036,-923.6200000000008
2010,9291.96,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985,306.10000000000036
2011,9460.35,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001,-228.15999999999985
2012,8829.74,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007,-978.130000000001
2013,9378.03,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999,289.4500000000007
2014,8682.32,-695.710000000001,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004,-561.3299999999999
2015,8420.97,-261.35000000000036,-695.710000000001,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988,1000.6000000000004
2016,8583.01,162.04000000000087,-261.35000000000036,-695.710000000001,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999,946.1099999999988
2017,8554.97,-28.040000000000873,162.04000000000087,-261.35000000000036,-695.710000000001,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015,-1780.199999999999
2018,8460.83,-94.13999999999942,-28.040000000000873,162.04000000000087,-261.35000000000036,-695.710000000001,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001,486.34000000000015
2019,8670.04,209.21000000000095,-94.13999999999942,-28.040000000000873,162.04000000000087,-261.35000000000036,-695.710000000001,548.2900000000009,-630.6100000000006,168.39000000000124,395.02999999999884,-637.5799999999999,907.8299999999999,-524.1700000000001
