Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,20193,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0,696.0,37.0,-1891.0,927.0,-371.0,363.0
2004,20973,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0,696.0,37.0,-1891.0,927.0,-371.0
2005,20998,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0,696.0,37.0,-1891.0,927.0
2006,20667,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0,696.0,37.0,-1891.0
2007,21033,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0,696.0,37.0
2008,21652,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0,696.0
2009,21436,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0,-264.0
2010,21783,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0,809.0
2011,22044,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0,755.0
2012,22232,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0,-613.0
2013,23417,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0,808.0
2014,23767,350.0,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0,-429.0
2015,24438,671.0,350.0,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0,1068.0
2016,25243,805.0,671.0,350.0,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0,780.0
2017,26183,940.0,805.0,671.0,350.0,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0,25.0
2018,26514,331.0,940.0,805.0,671.0,350.0,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0,-331.0
2019,27310,796.0,331.0,940.0,805.0,671.0,350.0,1185.0,188.0,261.0,347.0,-216.0,619.0,366.0
