Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,15337,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0,1782.0,338.0,612.0,680.0,902.0,128.0
2004,14370,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0,1782.0,338.0,612.0,680.0,902.0
2005,13842,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0,1782.0,338.0,612.0,680.0
2006,19340,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0,1782.0,338.0,612.0
2007,16405,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0,1782.0,338.0
2008,18438,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0,1782.0
2009,17825,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0,1227.0
2010,20000,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0,73.0
2011,26500,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0,4579.0
2012,23402,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0,3210.0
2013,27610,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0,-1748.0
2014,27241,-369.0,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0,-1519.0
2015,31090,3849.0,-369.0,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0,3763.0
2016,27819,-3271.0,3849.0,-369.0,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0,-967.0
2017,33432,5613.0,-3271.0,3849.0,-369.0,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0,-528.0
2018,30283,-3149.0,5613.0,-3271.0,3849.0,-369.0,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0,5498.0
2019,30487,204.0,-3149.0,5613.0,-3271.0,3849.0,-369.0,4208.0,-3098.0,6500.0,2175.0,-613.0,2033.0,-2935.0
