Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,28873,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0,11137.0,-10132.0,25.0,-6436.0,7310.0,7.0
2004,39281,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0,11137.0,-10132.0,25.0,-6436.0,7310.0
2005,32933,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0,11137.0,-10132.0,25.0,-6436.0
2006,48432,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0,11137.0,-10132.0,25.0
2007,38911,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0,11137.0,-10132.0
2008,51491,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0,11137.0
2009,43977,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0,-3049.0
2010,55428,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0,10613.0
2011,48592,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0,10817.0
2012,55418,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0,-16268.0
2013,54689,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0,55.0
2014,53305,-1384.0,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0,16987.0
2015,52871,-434.0,-1384.0,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0,-19479.0
2016,56788,3917.0,-434.0,-1384.0,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0,10408.0
2017,52740,-4048.0,3917.0,-434.0,-1384.0,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0,-6348.0
2018,65131,12391.0,-4048.0,3917.0,-434.0,-1384.0,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0,15499.0
2019,58211,-6920.0,12391.0,-4048.0,3917.0,-434.0,-1384.0,-729.0,6826.0,-6836.0,11451.0,-7514.0,12580.0,-9521.0
