Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,11053,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0,-2159.0,-26.0,1542.0,-3525.0,-3033.0,3584.0
2004,11429,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0,-2159.0,-26.0,1542.0,-3525.0,-3033.0
2005,11952,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0,-2159.0,-26.0,1542.0,-3525.0
2006,12164,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0,-2159.0,-26.0,1542.0
2007,12515,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0,-2159.0,-26.0
2008,8664,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0,-2159.0
2009,8098,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0,1343.0
2010,8523,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0,-1254.0
2011,7653,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0,-1356.0
2012,9927,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0,1007.0
2013,12124,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0,1431.0
2014,13333,1209.0,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0,-238.0
2015,14009,676.0,1209.0,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0,-659.0
2016,14634,625.0,676.0,1209.0,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0,376.0
2017,13824,-810.0,625.0,676.0,1209.0,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0,523.0
2018,13866,42.0,-810.0,625.0,676.0,1209.0,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0,212.0
2019,14100,234.0,42.0,-810.0,625.0,676.0,1209.0,2197.0,2274.0,-870.0,425.0,-566.0,-3851.0,351.0
