Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,4394,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0,242.0,402.0,-204.0,1142.0,-1100.0,16.0
2004,5213,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0,242.0,402.0,-204.0,1142.0,-1100.0
2005,4779,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0,242.0,402.0,-204.0,1142.0
2006,5551,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0,242.0,402.0,-204.0
2007,5967,416.0,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0,242.0,402.0
2008,4949,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0,242.0
2009,6830,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0,-350.0
2010,5560,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0,-129.0
2011,5650,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0,856.0
2012,6132,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0,929.0,-669.0
2013,6242,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0,929.0
2014,6383,141.0,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0,50.0
2015,6515,132.0,141.0,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0,300.0
2016,7143,628.0,132.0,141.0,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0,819.0
2017,7347,204.0,628.0,132.0,141.0,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0,-434.0
2018,7511,164.0,204.0,628.0,132.0,141.0,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0,772.0
2019,7343,-168.0,164.0,204.0,628.0,132.0,141.0,110.0,482.0,90.0,-1270.0,1881.0,-1018.0,416.0
