country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,0.6952,0.6713,0.5457,0.5012,0.8599,0.9962,0.9356,1.3317,1.0208,0.8638,0.7496,0.5795,0.5257,0.4834,0.6083,0.8922,0.8981,1.0005,1.1422,1.3896,1.8055,2.3968,1.6669,1.1391,1.5971,1.194,1.2356,1.2576,1.1352,1.0868
Kenya,0.6057,0.5068,0.2895,0.4764,1.5261,1.4017,1.1004,1.84,1.799,1.0519,0.7298,0.694,0.6767,0.4107,0.7101,,,,,,,,,,,,,,,
Tanzania,0.4082,0.495,0.4916,0.3828,0.6216,0.8676,0.6253,1.1852,0.907,0.6588,0.5432,0.3486,0.2593,0.2478,0.2637,0.4369,0.4277,0.5978,0.6338,,,,,,,,,,,
Bolivia,0.5178,0.5242,0.4353,0.2733,0.7992,0.7699,0.5718,1.0007,1.3109,0.9871,0.7805,,,,,,,,,,,,2.2564,2.0197,2.3925,2.3479,2.7179,4.7162,4.5515,8.5829
Burundi,0.5802,0.5502,0.5923,0.5827,0.6068,0.5669,0.5197,0.5279,0.5222,0.4657,0.3735,0.3219,0.2917,0.2488,0.2736,0.4293,0.6345,0.8035,0.8619,0.8568,0.8569,,,,,,,,,
Cameroon,0.3229,0.2823,0.2876,0.2325,0.8832,0.8526,0.8095,0.4364,0.6683,0.8841,0.3322,0.1909,0.2456,0.3527,,,,0.8019,0.7913,0.6605,,,,0.8287,,,,,0.7079,0.7085
Costa Rica,0.5849,0.5273,0.4991,0.5427,0.8136,0.8823,0.9278,0.9826,0.9266,0.7955,0.6928,0.4669,0.4674,0.5299,0.6487,0.8343,0.8922,0.9864,1.0617,1.0688,1.3986,1.8022,1.6073,1.2465,1.3077,1.4584,1.2911,1.3809,,
Cuba,1.7143,1.7143,1.8,1.8857,2.0353,1.886,1.8857,1.8857,1.8857,1.8857,1.8857,1.8857,1.8857,1.6893,0.7018,0.7071,0.7071,0.4714,0.7071,0.7071,0.7071,0.7071,0.7071,2.2196,2.3571,2.3571,2.3571,2.3571,,
Congo,,,,,,0.5112,0.6804,0.8505,0.6314,,,,,,,,,,,,,,,,,,,0.6237,0.6237,0.6237
Dominican Republic,0.6606,0.6264,0.4656,0.5312,1.1226,1.0926,0.8767,1.6641,0.9525,0.7418,0.6801,0.4204,0.5083,0.4957,0.757,0.8792,0.8629,0.8713,1.0145,1.0604,1.3913,1.9107,1.4781,1.4098,1.8356,1.7101,1.7719,1.7336,1.5361,1.4826
Ecuador,0.3521,0.3618,0.2908,0.2766,0.7642,1.733,1.4113,1.6792,1.106,0.7805,0.6597,0.2728,0.2736,0.3106,0.5119,0.9162,0.9245,1.1052,1.4504,1.4709,1.6188,2.2721,1.839,1.2224,1.0045,,,,,
El Salvador,0.5056,0.4454,0.3091,0.3535,0.9926,1.0051,0.7502,1.2514,0.8505,0.5692,0.4455,0.1763,0.2184,0.2569,0.393,0.671,0.6749,0.7524,0.8605,0.7919,1.0988,1.8674,1.2012,0.9528,1.1701,0.8745,0.8953,0.8762,0.7453,0.6555
